label,arm,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,obj_size,cold_first_run_reads,cold_reentry_reads,cold_net_waste_bytes,cold_gross_waste_bytes
met,a,630,1,0,0,NaN,0,30.955078,30.955078,1.000000,4.000,0.000000,0.000000,259688793,1,0,686425,686425
met,a,769,3,0,0,NaN,0,0.001139,0.001953,0.000000,25.333,1.000000,0.000000,226859495,3,0,970752,1028096
met,a,770,2,0,0,NaN,0,0.005615,0.008301,0.000000,18.000,1.000000,0.000000,226859495,2,0,1011712,1036288
met,a,773,3,0,0,NaN,0,0.076660,0.219238,0.000000,48.000,0.500000,0.000000,226859495,3,0,1949696,1953792
met,a,811,2,0,0,NaN,0,0.243164,0.470703,0.000000,74.000,1.000000,0.500000,226859495,2,0,1982464,1945600
met,a,810,4,0,0,NaN,0,0.094604,0.207520,0.000000,66.000,1.000000,0.000000,226859495,4,0,2875392,2891776
met,a,813,3,0,0,NaN,0,0.127604,0.225586,0.000000,118.667,1.000000,0.000000,226859495,3,0,2781184,2781184
met,a,783,2,0,0,NaN,0,0.064209,0.084961,0.000000,128.000,1.000000,0.000000,226859495,2,0,1835008,1835008
met,a,794,1,0,0,NaN,0,0.059082,0.059082,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,805,1,0,0,NaN,0,0.081543,0.081543,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,802,1,0,0,NaN,0,0.074707,0.074707,0.000000,56.000,0.000000,0.000000,226859495,1,0,991232,991232
met,a,775,1,0,0,NaN,0,0.097168,0.097168,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,787,3,0,0,NaN,0,0.135417,0.249023,0.000000,97.333,1.000000,0.333333,226859495,3,0,1826816,1929216
met,a,793,2,0,0,NaN,0,0.118896,0.128418,0.000000,128.000,1.000000,0.000000,226859495,2,0,1835008,1835008
met,a,777,2,0,0,NaN,0,0.142334,0.159668,0.000000,98.000,1.000000,0.000000,226859495,2,0,1896448,1896448
met,a,807,3,0,0,NaN,0,0.128906,0.190918,0.000000,60.000,1.000000,0.000000,226859495,3,0,1912832,1949696
met,a,796,1,0,0,NaN,0,0.206543,0.206543,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,782,1,0,0,NaN,0,0.237793,0.237793,0.000000,128.000,0.000000,1.000000,226859495,1,0,946176,917504
met,a,800,1,0,0,NaN,0,0.284668,0.284668,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,815,1,0,0,NaN,0,0.308594,0.308594,0.000000,60.000,0.000000,0.000000,226859495,1,0,987136,987136
met,a,798,1,0,0,NaN,0,0.315918,0.315918,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,784,1,0,0,NaN,0,0.331543,0.331543,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,774,1,0,0,NaN,0,0.347168,0.347168,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,786,1,0,0,NaN,0,0.362793,0.362793,0.000000,120.000,0.000000,1.000000,226859495,1,0,946176,925696
met,a,797,1,0,0,NaN,0,0.381836,0.381836,0.000000,92.000,0.000000,0.000000,226859495,1,0,954368,954368
met,a,785,1,0,0,NaN,0,0.399902,0.399902,0.000000,36.000,0.000000,0.000000,226859495,1,0,1011712,1011712
met,a,772,1,0,0,NaN,0,0.395020,0.395020,0.000000,28.000,0.000000,0.000000,226859495,1,0,1019904,1019904
met,a,788,1,0,0,NaN,0,0.441895,0.441895,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,812,1,0,0,NaN,0,0.457520,0.457520,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,781,1,0,0,NaN,0,0.473145,0.473145,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,809,1,0,0,NaN,0,0.504395,0.504395,0.000000,128.000,0.000000,0.000000,226859495,1,0,917504,917504
met,a,820,1,0,0,NaN,0,4.101562,4.101562,1.000000,4.000,0.000000,0.000000,226859495,1,0,1044480,1044480
met,a,830,1,0,0,NaN,0,27.041016,27.041016,1.000000,4.000,0.000000,0.000000,226859495,1,0,362983,362983
met,a,961,3,0,0,NaN,0,0.159831,0.416992,0.000000,128.000,1.000000,0.000000,301740437,3,0,2752512,2752512
met,a,979,1,0,0,NaN,0,0.015625,0.015625,0.000000,128.000,0.000000,0.000000,301740437,1,0,917504,917504
met,a,1001,1,0,0,NaN,0,0.046875,0.046875,0.000000,128.000,0.000000,0.000000,301740437,1,0,917504,917504
met,a,1002,1,0,0,NaN,0,0.031250,0.031250,0.000000,128.000,0.000000,0.000000,301740437,1,0,917504,917504
met,a,986,2,0,0,NaN,0,0.192871,0.323242,0.000000,128.000,1.000000,0.000000,301740437,2,0,1835008,1835008
met,a,984,2,0,0,NaN,0,0.122559,0.166992,0.000000,128.000,1.000000,0.000000,301740437,2,0,1835008,1835008
met,a,983,1,0,0,NaN,0,0.093750,0.093750,0.000000,128.000,0.000000,0.000000,301740437,1,0,917504,917504
met,a,980,1,0,0,NaN,0,0.109375,0.109375,0.000000,128.000,0.000000,0.000000,301740437,1,0,917504,917504
met,a,965,2,0,0,NaN,0,0.114746,0.125000,0.000000,128.000,1.000000,0.500000,301740437,2,0,876544,917504
met,a,967,2,0,0,NaN,0,0.085938,0.140625,0.000000,108.000,1.000000,0.000000,301740437,2,0,827392,958464
met,a,995,1,0,0,NaN,0,0.151367,0.151367,0.000000,128.000,0.000000,0.000000,301740437,1,0,917504,917504
met,a,1004,1,0,0,NaN,0,0.166992,0.166992,0.000000,128.000,0.000000,0.000000,301740437,1,0,917504,917504
met,a,969,1,0,0,NaN,0,0.198242,0.198242,0.000000,128.000,0.000000,0.000000,301740437,1,0,917504,917504
