#src	how	bytes	path
hemco	exact	5755252	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_propene_2005-2100_23474_kgC.nc
hemco	exact	5754096	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_ethene_2005-2100_43190_kgC.nc
hemco	exact	5752306	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_toluene_2005-2100_27424_kgC.nc
hemco	exact	5751732	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_propene_2005-2100_43190_kgC.nc
hemco	exact	5750937	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_xylene_2005-2100_27424_kgC.nc
hemco	exact	5742543	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_hexanes_and_higher_alkanes_2005-2100_23474_kgC.nc
hemco	exact	5736145	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_xylene_2005-2100_23474_kgC.nc
hemco	exact	5733943	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_acetylene_2005-2100_43533_kgC.nc
hemco	exact	5730147	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_toluene_2005-2100_23474_kgC.nc
hemco	exact	5729856	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_benzene_2005-2100_23474_kgC.nc
hemco	exact	5725479	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_CO_2005-2100_27424.nc
hemco	exact	5725355	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_benzene_2005-2100_43190_kgC.nc
hemco	exact	5711955	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_acetylene_2005-2100_27424_kgC.nc
hemco	exact	5706630	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_hexanes_and_higher_alkanes_2005-2100_43190_kgC.nc
hemco	exact	5681244	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_toluene_2005-2100_43190_kgC.nc
